title,artists,duration_s
Ordinary,Alex Warren,186.964
What I Want (feat. Tate McRae),"Morgan Wallen, Tate McRae",184.517
Just In Case,Morgan Wallen,166.206
I'm The Problem,Morgan Wallen,177.811
luther (with sza),"Kendrick Lamar, SZA",177.598
A Bar Song (Tipsy),Shaboozey,171.291
Die With A Smile,"Lady Gaga, Bruno Mars",251.667
Lose Control,Teddy Swims,210.688
NOKIA,Drake,241.023
Beautiful Things,Benson Boone,180.304
Anxiety,Doechii,249.302
Pink Pony Club,Chappell Roan,258.034
BIRDS OF A FEATHER,Billie Eilish,210.373
Love Somebody,Morgan Wallen,204.828
I Got Better,Morgan Wallen,204.963
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",178.205
I Ain't Comin' Back (feat. Post Malone),"Morgan Wallen, Post Malone",175.271
MUTT,Leon Thomas,193.333
All The Way (feat. Bailey Zimmerman),"BigXthaPlug, Bailey Zimmerman",165.0
Superman,Morgan Wallen,188.2
Espresso,Sabrina Carpenter,175.459
APT.,"ROSÉ, Bruno Mars",169.917
20 Cigarettes,Morgan Wallen,160.901
Blue Strips,Jessie Murph,147.209
Sports car,Tate McRae,165.045
Worst Way,Riley Green,220.558
Messy,Lola Young,284.068
Timeless (feat. Playboi Carti),"The Weeknd, Playboi Carti",256.0
undressed,sombr,182.088
Sorry I'm Here For Someone Else,Benson Boone,156.582
30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",278.277
Bloodline (with Jelly Roll),"Alex Warren, Jelly Roll",182.008
That’s So True,Gracie Abrams,166.3
weren't for the wind,Ella Langley,193.666
Burning Blue,Mariah the Scientist,205.724
back to friends,sombr,199.032
Love Me Not,Ravyn Lenae,213.466
tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",220.69
No One Noticed,The Marías,236.906
Am I Okay?,Megan Moroney,235.002
Abracadabra,Lady Gaga,223.398
Mystical Magical,Benson Boone,165.746
squabble up,Kendrick Lamar,157.992
WILDFLOWER,Billie Eilish,261.466
Eyes Are Closed,Morgan Wallen,197.188
Good News,Shaboozey,199.209
Cry For Me,The Weeknd,224.136
TN,Morgan Wallen,185.138
Dark Til Daylight,Morgan Wallen,235.566
Kick Myself,Morgan Wallen,159.297
I'm A Little Crazy,Morgan Wallen,199.06
Backup Plan (feat. Luke Combs),"Bailey Zimmerman, Luke Combs",181.518
Where'd That Girl Go,Morgan Wallen,151.228
"Skoal, Chevy, and Browning",Morgan Wallen,222.479
Falling Apart,Morgan Wallen,198.919
Dark Thoughts,Lil Tecca,136.991
Kiss Her In Front Of You,Morgan Wallen,178.227
If You Were Mine,Morgan Wallen,167.234
Happen To Me,Russell Dickerson,183.615
party 4 u,Charli xcx,296.653
Azizam,Ed Sheeran,162.029
cliché,mgk,176.242
SOMEBODY LOVES ME,"PARTYNEXTDOOR, Drake",182.767
After All The Bars Are Closed,Thomas Rhett,191.839
Shake It To The Max (FLY) - Remix,"MOLIY, Silent Addy, Skillibeng, Shenseea",178.775
Indigo (feat. Avery Anna),"Sam Barber, Avery Anna",286.634
Missing,Morgan Wallen,182.512
Don't We,Morgan Wallen,191.441
YOUR WAY'S BETTER,Forrest Frank,198.082
peekaboo (feat. azchike),"Kendrick Lamar, AZ Chike",155.917
Genesis,Morgan Wallen,195.488
Jack and Jill,Morgan Wallen,220.159
Marlboro Rojo,Fuerza Regida,184.173
LATINA FOREVA,KAROL G,159.452
WHIM WHAMIEE,"PLUTO, YKNIECE",141.538
Hard Fought Hallelujah (with Jelly Roll),"Brandon Lake, Jelly Roll",316.002
Whiskey Drink,Jason Aldean,190.4
Miami,Morgan Wallen,205.256
ME JALO,"Fuerza Regida, Grupo Frontera",212.002
Revelation,Morgan Wallen,209.519
Amen,"Shaboozey, Jelly Roll",197.403
House Again,Hudson Westbrook,203.822
Backseat Driver,Kane Brown,228.066
Interlude,Morgan Wallen,44.0
Number 3 and Number 7 (feat. Eric Church),"Morgan Wallen, Eric Church",195.84
EoO,Bad Bunny,204.768
twilight zone,Ariana Grande,198.32
Somewhere Over Laredo,Lainey Wilson,226.0
Leavin's The Least I Could Do,Morgan Wallen,187.545
Come Back As A Redneck (feat. HARDY),"Morgan Wallen, HARDY",238.496
RATHER LIE (with The Weeknd),"Playboi Carti, The Weeknd",209.68
Fix What You Didn't Break,Nate Smith,201.555
The Dealer (feat. ERNEST),"Morgan Wallen, ERNEST",183.849
Drinking Til It Does,Morgan Wallen,190.973
Por Esos Ojos,Fuerza Regida,188.064
The Largest,BigXthaPlug,132.266
Busy Woman,Sabrina Carpenter,186.612
Revolving door,Tate McRae,180.032
LA Night,Morgan Wallen,169.15
Feel It (From “Invincible”),d4vd,157.974
